ID,Name,Year,Genres,Country,Language,Seasons,Networks,Rating,Vote_Average,Vote_Count,Status,Poster_URL
119051,Wednesday,2022,"Sci-Fi & Fantasy, Mystery, Comedy",US,EN,3,Netflix,TV-14,8.36,10344,success,https://image.tmdb.org/t/p/w200/36xXlhEpQqVVPuiZhfoQuaY4OlA.jpg
194766,The Summer I Turned Pretty,2022,Drama,US,EN,3,Prime Video,TV-14,8.11,1040,success,https://image.tmdb.org/t/p/w200/xBIz53wYWsKfFpN0TaizVAjKJ0z.jpg
157239,Alien: Earth,2025,"Sci-Fi & Fantasy, Drama",US,EN,1,"FX, Hulu",TV-MA,7.34,946,success,https://image.tmdb.org/t/p/w200/yueXS3q8BtoWekcHOATFHicLl3e.jpg
1405,Dexter,2006,"Crime, Drama, Mystery",US,EN,8,Showtime,TV-MA,8.23,5305,success,https://image.tmdb.org/t/p/w200/q8dWfc4JwQuv3HayIZeO84jAXED.jpg
2734,Law & Order: Special Victims Unit,1999,"Crime, Drama, Mystery",US,EN,27,NBC,TV-14,7.94,4138,success,https://image.tmdb.org/t/p/w200/iofokHZoUB4Qhik4PflvJl8TT6a.jpg
79744,The Rookie,2018,"Crime, Drama, Comedy",US,EN,8,ABC,TV-14,8.54,3008,success,https://image.tmdb.org/t/p/w200/70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg
549,Law & Order,1990,"Crime, Drama",US,EN,25,NBC,TV-14,7.3,669,success,https://image.tmdb.org/t/p/w200/haJ9eHytVO3H3JooMJG1DiWwDNm.jpg
1416,Grey's Anatomy,2005,Drama,US,EN,22,ABC,TV-14,8.21,10793,success,https://image.tmdb.org/t/p/w200/hjJkrLXhWvGHpLeLBDFznpBTY1S.jpg
4614,NCIS,2003,"Crime, Drama, Action & Adventure",US,EN,23,CBS,TV-14,7.62,2463,success,https://image.tmdb.org/t/p/w200/mBcu8d6x6zB1el3MPNl7cZQEQ31.jpg
1622,Supernatural,2005,"Drama, Mystery, Sci-Fi & Fantasy",US,EN,15,"The WB, The CW",TV-14,8.3,8251,success,https://image.tmdb.org/t/p/w200/u40gJarLPlIkwouKlzGdobQOV9k.jpg
